DFRP-No_No-RBIF,Asset-name_Nom_du_bien,Street-number_Numéro-civique,Address_Adresse,City_Ville,Province-Code_Code-de-province,Province_Territory_Province_Territoire,Postal-code_Code-postal,Asset-type_Type-de-bien,Asbestos_Amiante,Mgmt-plan_Plan-gest
7605.0,National Printing Bureau - Structure,45,Sacré-Coeur Boulevard,Gatineau,QC,Quebec,J8X 1C6,Crown-owned,Yes,Yes
103695.0,Government of Canada Building - Central Heating Plant Cdn Govt Printing Bureau,45,Sacré-Coeur Boulevard,Gatineau,QC,Quebec,J8X 1C6,Crown-owned,Yes,Yes
7605.0,National Printing Bureau,45,Sacré-Coeur Boulevard,Gatineau,QC,Quebec,J8X 1C6,Crown-owned,Yes,Yes
7615.0,Fontaine Building,200,Sacré-Coeur Boulevard,Gatineau,QC,Quebec,J8X 4C8,Lease,No,Not required
7447.0,Saint Joseph Centre,259,Saint-Joseph Boulevard,Gatineau,QC,Quebec,J8Y 6T1,Lease,No,Not required
154126.0,Galeries de Hull,320,Saint-Joseph Boulevard,Gatineau,QC,Quebec,J8Y 3Y8,Lease,Work in progress,Work in progress
7620.0,Place Vincent Massey,351,Saint-Joseph Boulevard,Gatineau,QC,Quebec,J8Y 3Z5,Lease,No,Not required
7008.0,Village Place Cartier Shopping Centre,425,Saint-Joseph Boulevard,Gatineau,QC,Quebec,J8Y 3Z8,Lease,No,Not required
44018.0,Richelieu,975,Saint-Joseph Boulevard,Gatineau,QC,Quebec,J8Z 1W8,Lease,Yes,Yes
8159.0,1040 Saint-Joseph,1040,Saint-Joseph Boulevard,Gatineau,QC,Quebec,J8Z 1T3,Lease,No,Not required
15208.0,22 de Varennes Street,22,Varennes Street,Gatineau,QC,Quebec,J8T 8R1,Lease,No,Not required
13631.0,29 de Varennes Street,29,Varennes Street,Gatineau,QC,Quebec,J8T 8R1,Lease,No,Not required
22179.0,30 Victoria Street,30,Victoria Street,Gatineau,QC,Quebec,J8X 4H7,Lease-Purchase,No,Not required
7614.0,Place du Portage Phase I,50,Victoria Street,Gatineau,QC,Quebec,J8X 3X1,Crown-owned,Yes,Yes
7608.0,Les Terrasses de la Chaudière - Garage,6,Wellington Street,Gatineau,QC,Quebec,J8X 2L3,Crown-owned,Yes,Yes
7608.0,Les Terrasses de la Chaudière - North Building,10,Wellington Street,Gatineau,QC,Quebec,K1A 0H3,Crown-owned,Yes,Yes
