lat,lon,Z,Name,Organisme,Adresse,Ville,Province,Code_postal,Localisation_de_l_amiante,Source,L__gislation,Cat__gorie,Latitude,Longitude,Code postal,amiante,gislation,gorie
-73.607118,45.469391,0,Shadd,English-Montréal,1000 Avenue Old Orchard,Montréal,Québec,H4A 3A4,Calorifuge Plancher,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.469391,-73.607118,H4A 3A4,Calorifuge Plancher,LSST RSST et CSTC,Établissement scolaire
-73.640308,45.530061,0,Sinclair Laird,English-Montréal,8380 Avenue Wiseman,Montréal,Québec,H3N 2P6,Plafond Calorifuge Plancher,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.530061,-73.640308,H3N 2P6,Plafond Calorifuge Plancher,LSST RSST et CSTC,Établissement scolaire
-73.626925,45.56785,0,St-Dorothy,English-Montréal,8961 6E Avenue,Montréal,Québec,H1Z 2T7,Calorifuge Plancher,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.56785,-73.626925,H1Z 2T7,Calorifuge Plancher,LSST RSST et CSTC,Établissement scolaire
-73.643135,45.461902,0,St-Ignatius Of Loyala,English-Montréal,4850 Avenue Coronation,Montréal,Québec,H4V 2E2,Calorifuge,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.461902,-73.643135,H4V 2E2,Calorifuge,LSST RSST et CSTC,Établissement scolaire
-73.597644,45.456468,0,St-John Bosco,English-Montréal,6255 Rue Hamilton,Montréal,Québec,H4E 3C5,Calorifuge Plancher,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.456468,-73.597644,H4E 3C5,Calorifuge Plancher,LSST RSST et CSTC,Établissement scolaire
-73.640308,45.530061,0,St-Raphael,English-Montréal,8380 Avenue Wiseman,Montréal,Québec,H3N 2P6,Calorifuge Plancher,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.530061,-73.640308,H3N 2P6,Calorifuge Plancher,LSST RSST et CSTC,Établissement scolaire
-73.571468,45.563746,0,Vincent Massey,English-Montréal,5925 27E Avenue,Montréal,Québec,H1T 3J5,Calorifuge Plancher,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.563746,-73.571468,H1T 3J5,Calorifuge Plancher,LSST RSST et CSTC,Établissement scolaire
-73.595689,45.480545,0,Wesmount Park,English-Montréal,15 Place Du Parc,Montréal,Québec,H3Z 2K4,Murs Plafond Calorifuge Plancher,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.480545,-73.595689,H3Z 2K4,Murs Plafond Calorifuge Plancher,LSST RSST et CSTC,Établissement scolaire
-73.63652,45.476717,0,Willingdon,English-Montréal,6000 Avenue Fielding,Montréal,Québec,H3X 1T4,Murs Plafond Calorifuge,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.476717,-73.63652,H3X 1T4,Murs Plafond Calorifuge,LSST RSST et CSTC,Établissement scolaire
-73.624222,45.502316,0,Édifice Côte-Ste-Catherine,HEC Montréal,3000 Chem. De La Côte-Sainte-Catherine,Montréal,Québec,H3T 2A7,Drain pluvial,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.502316,-73.624222,H3T 2A7,Drain pluvial,LSST RSST et CSTC,Établissement scolaire
-73.619853,45.497726,0,Édifice Decelles,HEC Montréal,5255 Av. Decelles,Montréal,Québec,H3T 2B1,Tuyauterie murs placher plafond surface de bureau puits mécaniques,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.497726,-73.619853,H3T 2B1,Tuyauterie murs placher plafond surface de bureau puits mécaniques,LSST RSST et CSTC,Établissement scolaire
-73.621515,45.50553,0,Résidence Darlington,HEC Montréal,5714 Avenue DeDarlington,Montréal,Québec,H3S 2H7,Platre sur ciment linoléum Tuyaux de chauffage  crépis,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.50553,-73.621515,H3S 2H7,Platre sur ciment linoléum Tuyaux de chauffage  crépis,LSST RSST et CSTC,Établissement scolaire
-73.56552,45.500344,0,Chaufferie,Institut national de la recherche scientifique,800 Rue De La Gauchetière,Montréal,Québec,H5A 1K10,coudes de tuyauterie,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.500344,-73.56552,H5A 1K10,coudes de tuyauterie,LSST RSST et CSTC,Établissement scolaire
-73.567641,45.5169,0,Ucs Mtl,Institut national de la recherche scientifique,385 R. Sherbrooke E,Montréal,Québec,H2X 1E3,tuyauterie,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.5169,-73.567641,H2X 1E3,tuyauterie,LSST RSST et CSTC,Établissement scolaire
-73.818608,45.451264,0,John Rennie High,Lester B. Pearson,503 Boul. Saint-Jean,Montréal,Québec,H9R 3J5,Plafond(flocage)calorifuge tuyauterie,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.451264,-73.818608,H9R 3J5,Plafond(flocage)calorifuge tuyauterie,LSST RSST et CSTC,Établissement scolaire
